,region,comp,civil,mining
57,1,-78.74857622278013,-104.49831936687463,-108.84957862076348
58,1,-78.37371860050212,-106.04848743018717,-109.96462075868713
59,1,-77.6363467404519,-104.74363868716844,-110.96815868281843
60,1,-76.77271206640671,-106.26927481845159,-111.87134281453659
61,1,-77.19544085976604,-105.04234733660644,-112.68420853308294
62,1,-76.97589677378943,-106.5381126029458,-113.41578767977464
63,1,-76.97830709641049,-107.88430134265123,-111.37420891179717
64,1,-76.78047638676944,-109.0958712083861,-112.23678802061745
65,1,-76.8024287480925,-107.3862840875475,-110.51310921855571
66,1,-76.62218587328324,-105.94765567879274,-111.46179829670014
67,1,-76.45996728595492,-104.65289011091346,-112.31561846703012
68,1,-76.01397055735943,-106.18760109982212,-113.0840566203271
69,2,-82.81159420289855,-96.1159420289855,-98.27536231884058
70,2,-120.0,-93.0,-93.0
71,2,-101.5,-91.0,-94.0
72,2,-94.66666666666667,-100.66666666666667,-91.66666666666667
73,2,-91.75,-98.25,-90.5
74,2,-91.4,-96.6,-96.4
75,2,-90.33333333333334,-95.0,-100.33333333333334
76,2,-88.85714285714286,-94.42857142857143,-99.28571428571429
77,2,-87.375,-93.5,-98.5
78,2,-86.66666666666667,-92.77777777777777,-98.11111111111111
79,2,-85.9,-92.5,-97.4
80,2,-86.41000000000001,-92.05,-96.66000000000001
81,2,-85.66900000000001,-91.945,-98.99400000000001
82,2,-85.60210000000001,-94.75049999999999,-101.09460000000001
83,2,-84.94189,-97.27544999999999,-99.68514000000002
84,2,-84.547701,-96.04790499999999,-98.81662600000001
85,2,-84.9929309,-95.54311449999999,-98.03496340000001
86,2,-84.39363781,-94.68880304999999,-97.93146706
87,2,-84.454274029,-94.419922745,-96.838320354
88,2,-84.3088466261,-96.9779304705,-96.4544883186
89,2,-83.87796196349001,-99.28013742345,-96.30903948674
90,2,-83.19016576714101,-98.252123681105,-96.378135538066
91,2,-83.57114919042691,-97.9269113129945,-96.4403219842594
92,2,-83.51403427138422,-97.03422018169505,-95.99628978583345
93,2,-83.9626308442458,-96.43079816352554,-95.69666080725011
94,2,-83.66636775982121,-98.78771834717298,-95.2269947265251
95,2,-82.99973098383909,-97.80894651245569,-94.7042952538726
96,2,-82.99975788545518,-97.12805186121012,-97.23386572848534
97,2,-82.79978209690967,-96.51524667508912,-99.5104791556368
98,2,-82.8198038872187,-95.9637220075802,-99.05943124007312
99,2,-82.43782349849683,-95.36734980682218,-98.65348811606582
100,2,-81.89404114864715,-94.93061482613996,-98.08813930445923
101,2,-81.80463703378243,-93.93755334352596,-97.57932537401331
102,2,-81.12417333040419,-93.34379800917337,-97.32139283661198
103,2,-81.91175599736377,-93.00941820825604,-96.88925355295078
104,2,-81.8205803976274,-92.60847638743043,-96.5003281976557
105,2,-81.53852235786465,-95.34762874868738,-95.75029537789014
106,2,-81.68467012207819,-94.61286587381865,-95.57526584010112
107,2,-82.61620310987037,-97.15157928643679,-98.017739256091
108,2,-82.65458279888333,-96.43642135779311,-97.3159653304819
109,2,-82.789124518995,-95.8927792220138,-96.88436879743371
110,2,-82.5102120670955,-95.60350129981242,-96.29593191769034
111,2,-82.55919086038594,-94.94315116983118,-98.6663387259213
112,2,-82.60327177434735,-94.44883605284807,-97.89970485332918
113,2,-83.34294459691262,-97.00395244756326,-97.60973436799627
114,2,-83.50865013722135,-99.30355720280694,-97.14876093119665
115,2,-83.05778512349922,-98.17320148252625,-96.33388483807698
116,2,-83.2520066111493,-100.35588133427363,-98.70049635426929
117,2,-83.22680595003436,-99.62029320084628,-100.83044671884237
118,2,-82.80412535503092,-98.75826388076165,-100.24740204695813
119,2,-82.82371281952783,-98.18243749268548,-102.22266184226231
120,2,-82.64134153757504,-97.46419374341693,-101.10039565803608
121,2,-82.37720738381753,-97.21777436907523,-100.49035609223247
122,2,-82.03948664543579,-96.3959969321677,-99.74132048300923
123,2,-82.33553798089221,-98.75639723895094,-101.76718843470832
124,2,-82.00198418280299,-97.68075751505584,-100.89046959123749
125,2,-81.90178576452269,-99.91268176355027,-102.80142263211374
126,2,-82.81160718807041,-98.82141358719524,-104.52128036890237
127,2,-83.03044646926337,-97.83927222847572,-102.96915233201213
128,2,-83.52740182233703,-97.05534500562815,-101.77223709881092
129,2,-83.47466164010332,-96.84981050506534,-100.69501338892982
130,2,-83.22719547609299,-96.0648294545588,-100.02551205003684
131,2,-82.6044759284837,-98.45834650910292,-102.02296084503315
132,2,-81.64402833563533,-97.91251185819263,-100.92066476052983
133,2,-81.9796255020718,-97.22126067237336,-99.62859828447685
134,2,-81.28166295186462,-96.79913460513603,-98.96573845602917
135,2,-81.85349665667816,-96.21922114462242,-98.16916461042625
136,2,-81.36814699101035,-95.49729903016018,-97.85224814938363
137,2,-81.53133229190931,-94.84756912714415,-97.06702333444527
138,3,-87.49367088607595,-90.30379746835443,-95.9620253164557
139,3,-83.0,-88.0,-91.0
140,3,-88.0,-87.5,-90.0
141,3,-86.66666666666667,-86.66666666666667,-89.66666666666667
142,3,-86.75,-86.75,-90.0
143,3,-87.4,-87.6,-89.6
144,3,-87.0,-88.0,-89.83333333333333
145,3,-87.0,-87.85714285714286,-90.57142857142857
146,3,-87.0,-87.75,-90.625
147,3,-86.77777777777777,-87.88888888888889,-91.0
148,3,-86.8,-87.8,-91.0
149,3,-86.62,-88.12,-93.9
150,3,-86.858,-91.308,-94.01
151,3,-86.4722,-91.27720000000001,-96.60900000000001
152,3,-86.32498,-91.04948,-98.94810000000001
153,3,-86.09248199999999,-90.94453200000001,-98.35329000000002
154,3,-86.28323379999999,-90.6500788,-98.21796100000002
155,3,-86.75491041999999,-90.08507092,-97.09616490000002
156,3,-87.379419378,-89.47656382800001,-96.08654841000002
157,3,-90.64147744019999,-89.3289074452,-95.87789356900002
158,3,-90.07732969617999,-88.79601670068,-95.39010421210003
159,3,-89.56959672656198,-91.916415030612,-94.95109379089003
160,3,-89.11263705390579,-91.3247735275508,-94.45598441180103
161,3,-88.7013733485152,-90.99229617479573,-94.51038597062092
162,3,-88.53123601366369,-90.49306655731615,-97.05934737355882
163,3,-87.97811241229732,-93.44375990158454,-96.85341263620293
164,3,-87.28030117106759,-92.4993839114261,-96.26807137258264
165,3,-86.85227105396083,-91.74944552028349,-95.64126423532437
166,3,-86.66704394856475,-91.07450096825514,-95.17713781179194
167,3,-86.30033955370828,-93.96705087142962,-94.75942403061275
168,3,-86.17030559833745,-93.37034578428666,-97.28348162755148
169,3,-86.5532750385037,-92.333311205858,-96.45513346479633
170,3,-85.79794753465333,-91.2999800852722,-96.5096201183167
171,3,-85.418152781188,-91.16998207674497,-95.95865810648503
172,3,-84.7763375030692,-90.85298386907047,-95.46279229583652
173,3,-84.29870375276228,-90.16768548216342,-95.21651306625287
174,3,-84.76883337748605,-90.05091693394708,-94.99486175962758
175,3,-84.59195003973744,-93.04582524055238,-94.59537558366482
