region,comp,civil,mining
"3			",-87,-87,-91
"3			",-85,-88,-95
"3			",-91,-85,-87
"3			",-93,-87,-89
"3			",-120,-84,-91
"3			",-120,-89,-83
"3			",-120,-88,-94
"3			",-83,-91,-120
"3			",-85,-90,-90
"3			",-83,-120,-91
"3			",-83,-86,-120
"3			",-84,-85,-89
"3			",-84,-84,-93
"3			",-87,-87,-91
"3			",-83,-88,-91
"3			",-85,-85,-89
"3			",-82,-82,-91
"3			",-91,-85,-120
"3			",-81,-84,-91
"3			",-91,-86,-93
"3			",-87,-87,-95
"3			",-84,-85,-91
"3			",-87,-87,-91
"3			",-79,-88,-91
"3			",-80,-84,-93
"3			",-81,-83,-95
"3			",-81,-85,-93
"3			",-79,-82,-97
"3			",-85,-88,-120
"3			",-87,-90,-89
"3			",-90,-91,-88
"3			",-84,-84,-90
"3			",-120,-85,-120
"3			",-91,-120,-87
"3			",-93,-84,-87
"3			",-90,-85,-91
"3			",-120,-86,-93
"3			",-87,-86,-120
"3			",-81,-87,-91
"3			",-83,-85,-95
"3			",-85,-85,-95
"3			",-83,-87,-91
"3			",-84,-89,-93
"3			",-83,-90,-89
"3			",-85,-86,-90
"3			",-87,-87,-120
"3			",-85,-84,-91
"3			",-88,-88,-97
"3			",-89,-89,-93
"3			",-89,-120,-95
"3			",-83,-90,-93
"3			",-85,-91,-120
"3			",-84,-90,-93
"3			",-83,-120,-91
"3			",-85,-93,-89
"3			",-85,-90,-87
"3			",-83,-95,-120
"3			",-87,-120,-93
"3			",-85,-91,-93
"3			",-83,-92,-91
"3			",-85,-89,-94
"3			",-82,-90,-91
"3			",-81,-90,-120
"3			",-83,-120,-95
"3			",-85,-120,-91
"3			",-87,-87,-87
"3			",-91,-91,-89
"3			",-90,-90,-91
"3			",-85,-90,-91
"3			",-87,-92,-93
"3			",-83,-87,-90
"3			",-85,-89,-120
"3			",-90,-89,-88
"4			",-89,-83,-85
"4			",-90,-87,-86
"4			",-87,-84,-83
"4			",-85,-89,-87
"4			",-89,-86,-91
"4			",-91,-87,-83
"4			",-89,-91,-85
"4			",-87,-90,-88
"4			",-89,-80,-82
"4			",-91,-85,-82
"4			",-91,-84,-81
"4			",-89,-83,-83
"4			",-85,-85,-85
"4			",-83,-86,-82
"4			",-84,-87,-84
"4			",-85,-84,-85
"4			",-89,-80,-83
"4			",-90,-83,-89
"4			",-91,-84,-90
"4			",-89,-85,-91
"4			",-93,-87,-93
"4			",-120,-86,-87
"4			",-87,-90,-90
"4			",-89,-90,-90
"4			",-91,-120,-90
"4			",-120,-85,-89
"4			",-120,-83,-91
"4			",-120,-84,-90
"4			",-91,-85,-120
"4			",-85,-120,-93
"4			",-87,-88,-95
"4			",-88,-84,-95
"4			",-89,-83,-91
"4			",-83,-85,-90
"4			",-81,-81,-89
"4			",-85,-83,-87
"4			",-84,-85,-89
"4			",-87,-88,-91
"4			",-83,-86,-91
"4			",-81,-85,-93
"4			",-91,-87,-87
"4			",-90,-84,-89
"4			",-89,-85,-85
"4			",-87,-86,-89
"4			",-88,-82,-91
"4			",-88,-83,-93
"4			",-91,-89,-87
"4			",-91,-85,-84
"4			",-93,-86,-82
"4			",-93,-83,-85
"4			",-89,-84,-91
"4			",-87,-90,-120
"4			",-85,-89,-120
"4			",-84,-88,-91
"4			",-83,-84,-93
"4			",-87,-86,-87
"4			",-88,-87,-91
"4			",-89,-87,-93
"4			",-87,-90,-90
"4			",-85,-82,-120
"4			",-80,-88,-90
"4			",-120,-85,-89
"4			",-120,-83,-91
"4			",-120,-79,-90
"4			",-89,-80,-93
"4			",-90,-85,-89
"4			",-120,-84,-87
"4			",-87,-89,-85
"4			",-92,-85,-85
"4			",-93,-90,-89
"4			",-87,-91,-91
"4			",-89,-93,-120
"4			",-91,-92,-95
"4			",-93,-89,-89
"4			",-91,-81,-90
"4			",-87,-84,-97
"5			",-91,-81,-89
"5			",-91,-72,-85
"5			",-93,-75,-87
"5			",-89,-72,-89
"5			",-87,-83,-89
"5			",-120,-81,-91
"5			",-89,-82,-85
"5			",-87,-90,-84
"5			",-120,-83,-84
"5			",-120,-87,-85
"5			",-90,-95,-86
"5			",-87,-84,-86
"5			",-89,-89,-83
"5			",-91,-87,-87
"5			",-120,-90,-89
"5			",-120,-82,-86
"5			",-87,-73,-87
"5			",-89,-79,-87
"5			",-91,-81,-91
"5			",-91,-85,-90
"5			",-89,-89,-85
"5			",-87,-75,-85
"5			",-89,-83,-83
"5			",-91,-87,-84
"5			",-120,-81,-84
"5			",-120,-87,-83
"5			",-120,-83,-87
"5			",-120,-84,-89
"5			",-120,-79,-85
"5			",-93,-77,-89
"5			",-97,-75,-83
"5			",-95,-73,-82
"5			",-97,-71,-84
"5			",-120,-71,-83
"5			",-120,-69,-90
"5			",-89,-75,-85
"5			",-91,-72,-85
"5			",-93,-70,-83
"5			",-92,-73,-83
"5			",-120,-72,-90
"5			",-89,-72,-90
"5			",-91,-69,-120
"5			",-91,-71,-83
"5			",-87,-75,-85
"5			",-87,-73,-83
"5			",-86,-70,-81
"5			",-95,-77,-83
"5			",-120,-79,-85
"5			",-120,-78,-84
"5			",-85,-75,-82
"5			",-85,-75,-84
"5			",-93,-75,-85
"5			",-120,-75,-85
"5			",-91,-75,-86
"5			",-91,-77,-89
"5			",-87,-72,-83
"5			",-83,-75,-89
"5			",-91,-75,-90
"5			",-120,-89,-85
"5			",-97,-87,-83
"5			",-120,-77,-87
"5			",-93,-91,-87
"5			",-83,-88,-89
"5			",-85,-85,-89
"5			",-85,-86,-85
"5			",-89,-87,-89
"5			",-90,-83,-91
"5			",-91,-85,-84
"5			",-120,-84,-83
"6			",-91,-87,-87
"6			",-120,-82,-85
"6			",-93,-81,-83
"6			",-120,-89,-85
"6			",-91,-81,-85
"6			",-95,-83,-90
"6			",-91,-89,-79
"6			",-93,-85,-83
"6			",-91,-90,-85
"6			",-120,-87,-83
"6			",-120,-89,-89
"6			",-120,-89,-91
"6			",-91,-89,-85
"6			",-91,-89,-81
"6			",-93,-83,-85
"6			",-120,-90,-85
"6			",-90,-89,-83
"6			",-120,-90,-79
"6			",-120,-89,-77
"6			",-120,-90,-83
"6			",-97,-85,-83
"6			",-95,-88,-82
"6			",-120,-79,-84
"6			",-91,-86,-81
"6			",-89,-89,-85
"6			",-89,-85,-81
"6			",-87,-85,-85
"6			",-120,-87,-83
"6			",-91,-87,-85
"6			",-120,-88,-87
"6			",-89,-89,-89
"6			",-91,-79,-91
"6			",-91,-77,-85
"6			",-87,-81,-83
"6			",-93,-72,-84
"6			",-93,-85,-83
"6			",-120,-75,-85
"6			",-120,-75,-84
"6			",-120,-72,-83
"6			",-120,-77,-79
"6			",-120,-73,-78
"6			",-120,-77,-80
"6			",-93,-71,-80
"6			",-95,-77,-85
"6			",-97,-81,-85
"6			",-93,-75,-83
"6			",-120,-73,-83
"6			",-91,-75,-81
"6			",-93,-73,-81
"6			",-94,-75,-79
"6			",-95,-79,-83
"6			",-91,-75,-78
"6			",-93,-76,-79
"6			",-93,-77,-83
"6			",-95,-89,-120
"6			",-120,-77,-91
"6			",-120,-83,-95
"6			",-120,-84,-85
"6			",-93,-82,-85
"6			",-95,-80,-89
"6			",-95,-81,-79
"6			",-97,-83,-80
"6			",-91,-85,-83
"6			",-93,-82,-81
"6			",-93,-84,-78
"6			",-95,-85,-76
"6			",-91,-83,-78
"6			",-120,-81,-81
"6			",-120,-81,-83
"7			",-120,-81,-81
"7			",-120,-84,-79
"7			",-120,-89,-78
"7			",-97,-91,-83
"7			",-91,-89,-85
"7			",-120,-90,-81
"7			",-120,-91,-79
"7			",-91,-91,-75
"7			",-93,-89,-77
"7			",-91,-91,-79
"7			",-93,-91,-81
"7			",-95,-93,-81
"7			",-95,-89,-81
"7			",-93,-87,-75
"7			",-91,-91,-73
"7			",-120,-90,-77
"7			",-120,-89,-78
"7			",-120,-90,-81
"7			",-120,-89,-79
"7			",-120,-89,-71
"7			",-120,-90,-73
"7			",-120,-90,-73
"7			",-91,-87,-75
"7			",-95,-89,-75
"7			",-93,-89,-81
"7			",-120,-91,-73
"7			",-120,-89,-79
"7			",-95,-90,-77
"7			",-94,-91,-81
"7			",-95,-91,-79
"7			",-93,-84,-78
"7			",-94,-83,-77
"7			",-120,-85,-75
"7			",-120,-87,-75
"7			",-97,-86,-79
"7			",-120,-90,-78
"7			",-95,-84,-79
"7			",-93,-85,-73
"7			",-95,-85,-75
"7			",-91,-87,-75
"7			",-120,-83,-79
"7			",-120,-81,-81
"7			",-120,-84,-83
"7			",-120,-85,-83
"7			",-120,-87,-79
"7			",-120,-84,-75
"7			",-95,-84,-90
"7			",-95,-87,-81
"7			",-93,-85,-81
"7			",-95,-85,-83
"7			",-97,-89,-77
"7			",-120,-84,-81
"7			",-93,-87,-79
"7			",-97,-85,-75
"7			",-120,-86,-72
"7			",-91,-84,-73
"7			",-95,-82,-71
"7			",-93,-81,-77
"7			",-97,-82,-79
"7			",-120,-83,-81
"7			",-120,-82,-73
"7			",-120,-84,-72
"7			",-93,-83,-85
"7			",-95,-85,-81
"7			",-120,-84,-83
"7			",-120,-81,-80
"7			",-97,-83,-79
"7			",-120,-85,-75
"7			",-120,-82,-77
